time,low,high,open,close,volume,token
2024-05-29,167.01,173.8,168.5,169.1,493637.25000821,SOL
2024-05-28,164.82,173.11,170.02,168.5,663656.3470251,SOL
2024-05-27,163.17,172.12,163.25,170.02,586791.04550049,SOL
2024-05-26,160.36,168.39,168.33,163.24,1014996.85907125,SOL
2024-05-25,165.89,170.49,167.68,168.33,418409.70355585,SOL
2024-05-24,162.45,176.07,176.07,167.68,1223312.68739923,SOL
2024-05-23,165.61,180.96,176.85,176.11,1782217.15429252,SOL
2024-05-22,175.0,183.46,178.12,176.84,1195022.05510768,SOL
2024-05-21,174.26,188.9,186.71,178.12,1246348.96485656,SOL
2024-05-20,167.7,188.41,169.92,186.73,1174312.69240078,SOL
2024-05-19,166.01,175.51,172.45,169.92,497663.1375587,SOL
2024-05-18,168.7,175.99,169.51,172.46,635692.90677353,SOL
2024-05-17,159.34,172.08,159.37,169.48,895763.36156161,SOL
2024-05-16,156.7,164.75,158.6,159.37,1167422.66374857,SOL
2024-05-15,141.22,158.86,141.98,158.6,1322013.6104668,SOL
2024-05-14,141.75,151.5,147.5,141.96,819839.4999486,SOL
2024-05-13,137.82,150.8,143.36,147.49,1070319.88805558,SOL
2024-05-12,142.57,147.69,145.37,143.35,369169.37240576,SOL
2024-05-11,143.05,147.66,146.01,145.37,574750.86521124,SOL
2024-05-10,144.41,155.74,152.55,146.01,1217658.46121303,SOL
2024-05-09,140.53,153.37,142.14,152.54,918780.04069924,SOL
2024-05-08,140.0,149.95,148.04,142.13,899535.93350958,SOL
2024-05-07,148.0,159.18,152.85,148.05,838121.36375189,SOL
2024-05-06,145.44,157.03,145.74,152.83,1001891.54552638,SOL
2024-05-05,143.0,148.0,146.07,145.74,461407.51335516,SOL
2024-05-04,142.25,149.11,143.75,146.06,528753.80408235,SOL
2024-05-03,132.1,145.03,137.57,143.73,1013126.42072374,SOL
2024-05-02,128.16,141.0,134.45,137.57,1090679.71832366,SOL
2024-05-01,118.68,135.86,126.63,134.46,1644144.61431275,SOL
2024-04-30,121.0,139.74,137.73,126.66,1507577.39141503,SOL
2024-04-29,133.37,138.9,137.98,137.73,795190.75029224,SOL
2024-04-28,137.02,144.6,141.24,137.98,486682.09806583,SOL
2024-04-27,133.0,142.97,139.19,141.22,689266.47540085,SOL
2024-04-26,138.73,146.11,144.84,139.22,613573.32473004,SOL
2024-04-25,142.04,149.49,147.71,144.83,976021.09556298,SOL
2024-04-24,145.25,159.78,154.69,147.71,1124542.72440691,SOL
2024-04-23,153.15,160.0,157.02,154.69,810829.36898627,SOL
2024-04-22,146.7,158.5,148.81,157.02,909774.34620336,SOL
2024-04-21,146.8,153.59,151.28,148.82,567246.82127678,SOL
2024-04-20,139.7,152.48,142.54,151.33,715494.40864999,SOL
2024-04-19,128.47,147.63,142.14,142.56,2002415.83339281,SOL
2024-04-18,127.7,143.94,131.83,142.14,1153922.78563056,SOL
2024-04-17,126.68,142.77,136.28,131.84,1616654.90102712,SOL
2024-04-16,126.51,140.69,138.56,136.26,1559225.03327458,SOL
2024-04-15,133.7,156.27,151.42,138.56,1551585.60621083,SOL
2024-04-14,130.0,152.95,138.59,151.44,2110116.52767288,SOL
2024-04-13,121.88,154.99,153.22,138.55,3109359.05404368,SOL
2024-04-12,143.0,175.99,172.34,153.24,1500902.7276704,SOL
2024-04-11,170.04,176.34,173.33,172.35,653648.74111884,SOL
2024-04-10,162.27,175.52,172.27,173.34,1022106.34957454,SOL
2024-04-09,168.89,180.9,180.65,172.31,952573.65814674,SOL
2024-04-08,175.27,184.63,179.52,180.66,924071.28862213,SOL
2024-04-07,176.84,182.73,178.71,179.53,681047.65676867,SOL
2024-04-06,173.45,179.87,174.46,178.73,583429.67034848,SOL
2024-04-05,168.0,185.23,184.11,174.46,1195885.85501715,SOL
2024-04-04,180.27,190.22,185.12,184.15,883909.91116581,SOL
2024-04-03,177.0,191.96,181.58,185.11,842258.56044078,SOL
2024-04-02,175.89,192.39,192.37,181.54,1539301.55340381,SOL
2024-04-01,186.91,204.25,202.41,192.35,1229843.89934343,SOL
2024-03-31,193.76,203.15,194.28,202.38,857355.43315829,SOL
2024-03-30,190.85,199.98,192.14,194.27,822342.88355242,SOL
2024-03-29,183.23,193.08,189.66,192.15,929561.35164297,SOL
2024-03-28,180.72,191.0,186.23,189.68,977206.39520309,SOL
2024-03-27,180.0,192.59,190.48,186.24,1348099.68250393,SOL
2024-03-26,184.56,198.03,189.04,190.48,1176961.35915771,SOL
2024-03-25,180.96,194.6,183.87,188.99,1380524.45982921,SOL
2024-03-24,171.32,186.8,172.68,183.89,773163.78833068,SOL
2024-03-23,170.33,180.0,175.24,172.7,789254.28539747,SOL
2024-03-22,167.6,181.89,179.41,175.24,1171269.14801193,SOL
2024-03-21,175.5,195.79,191.81,179.4,1298865.92067615,SOL
2024-03-20,162.41,193.33,169.76,191.91,2495156.64072634,SOL
2024-03-19,165.37,198.7,195.9,169.76,3064329.55900921,SOL
2024-03-18,193.6,209.9,201.7,195.96,2227273.86347729,SOL
2024-03-17,178.55,204.12,181.98,201.69,1907137.49023163,SOL
2024-03-16,176.71,197.86,184.0,181.99,2428380.90451423,SOL
2024-03-15,164.58,188.88,176.69,183.91,3280753.57055337,SOL
2024-03-14,159.2,178.35,163.95,176.69,2419785.46609521,SOL
2024-03-13,148.78,167.0,151.1,163.95,1978293.24666427,SOL
2024-03-12,141.72,155.0,148.91,151.06,2110807.52605998,SOL
2024-03-11,137.0,150.18,144.58,148.9,1851440.86302679,SOL
2024-03-10,140.61,148.73,144.58,144.56,982832.66049622,SOL
2024-03-09,144.0,149.49,145.12,144.58,622487.61812096,SOL
2024-03-08,142.09,153.0,144.05,145.12,1677393.50257527,SOL
2024-03-07,130.64,150.0,130.91,144.06,2846946.8939359,SOL
2024-03-06,120.08,134.95,125.48,130.88,1616349.06906451,SOL
2024-03-05,110.0,143.0,133.48,125.55,3190928.13761199,SOL
2024-03-04,127.51,134.98,130.22,133.49,1524400.4153017,SOL
2024-03-03,124.73,132.18,130.13,130.22,847523.18075194,SOL
2024-03-02,127.35,131.8,129.55,130.22,885708.49977476,SOL
2024-03-01,125.68,137.84,125.74,129.53,1636860.0559873,SOL
2024-02-29,117.31,134.75,119.0,125.73,2841020.58837195,SOL
2024-02-28,107.32,119.0,108.44,119.0,2263257.151,SOL
2024-02-27,105.36,112.37,110.0,108.41,1384143.036,SOL
2024-02-26,100.3,110.85,103.47,110.0,1256201.065,SOL
2024-02-25,102.01,104.41,104.01,103.47,374182.919,SOL
2024-02-24,98.46,104.79,99.89,104.01,501961.722,SOL
2024-02-23,98.67,103.07,101.68,99.91,690566.609,SOL
2024-02-22,101.46,107.11,105.05,101.69,881129.479,SOL
2024-02-21,100.15,108.42,108.35,105.05,1216043.161,SOL
2024-02-20,104.0,112.14,111.57,108.32,1266590.908,SOL
2024-02-19,110.81,114.86,112.26,111.57,774854.748,SOL
2024-02-18,107.54,114.08,108.97,112.25,487184.428,SOL
2024-02-17,105.69,111.16,110.41,108.95,447059.748,SOL
2024-02-16,108.04,114.35,113.62,110.41,828697.254,SOL
2024-02-15,111.6,118.48,117.12,113.62,1059592.235,SOL
2024-02-14,110.66,118.71,112.54,117.14,1116969.957,SOL
2024-02-13,108.29,115.17,111.72,112.55,1271137.212,SOL
2024-02-12,103.43,112.27,107.5,111.7,1181640.353,SOL
2024-02-11,107.33,110.78,109.02,107.5,627207.877,SOL
2024-02-10,106.9,110.99,106.96,109.01,941950.052,SOL
2024-02-09,102.81,109.2,102.81,106.97,1420976.018,SOL
2024-02-08,100.51,105.22,101.14,102.79,1915568.973,SOL
2024-02-07,94.57,101.54,96.86,101.12,1039042.713,SOL
2024-02-06,93.04,97.9,95.52,96.86,1089514.294,SOL
2024-02-05,94.1,98.6,95.42,95.5,766785.397,SOL
2024-02-04,95.06,98.57,97.92,95.44,491448.05,SOL
2024-02-03,96.58,101.2,100.55,97.93,728430.906,SOL
2024-02-02,97.36,102.49,97.81,100.55,1243476.769,SOL
2024-02-01,92.44,98.07,96.88,97.78,1830320.671,SOL
