time,low,high,open,close,volume,token,Pivot,R1,S1,R2,S2,Buy_Signal,Sell_Signal,Position
2024-05-28,164.82,173.11,170.02,168.5,663656.3470251,SOL,169.97,172.93,166.14,176.76000000000002,163.17999999999998,1,1,1
2024-05-27,163.17,172.12,163.25,170.02,586791.04550049,SOL,168.81,172.8,164.51,177.10000000000002,160.51999999999998,1,0,1
2024-05-26,160.36,168.39,168.33,163.24,1014996.85907125,SOL,168.43666666666664,173.7033333333333,164.75333333333327,177.38666666666666,159.48666666666662,1,0,1
2024-05-25,165.89,170.49,167.68,168.33,418409.70355585,SOL,163.99666666666667,167.63333333333333,159.60333333333335,172.02666666666664,155.9666666666667,0,1,-1
2024-05-24,162.45,176.07,176.07,167.68,1223312.68739923,SOL,168.23666666666668,170.58333333333337,165.98333333333335,172.8366666666667,163.63666666666666,1,1,1
2024-05-23,165.61,180.96,176.85,176.11,1782217.15429252,SOL,168.73333333333332,175.01666666666665,161.39666666666665,182.35333333333332,155.11333333333332,0,1,-1
2024-05-22,175.0,183.46,178.12,176.84,1195022.05510768,SOL,174.2266666666667,182.84333333333336,167.49333333333337,189.57666666666668,158.8766666666667,0,1,-1
2024-05-21,174.26,188.9,186.71,178.12,1246348.96485656,SOL,178.43333333333337,181.86666666666673,173.40666666666672,186.89333333333337,169.97333333333336,0,1,-1
2024-05-20,167.7,188.41,169.92,186.73,1174312.69240078,SOL,180.42666666666665,186.5933333333333,171.9533333333333,195.06666666666666,165.78666666666663,1,1,1
2024-05-19,166.01,175.51,172.45,169.92,497663.1375587,SOL,180.9466666666667,194.19333333333338,173.48333333333338,201.6566666666667,160.23666666666668,1,0,1
2024-05-18,168.7,175.99,169.51,172.46,635692.90677353,SOL,170.48,174.95,165.45,179.98,160.98,0,1,-1
2024-05-17,159.34,172.08,159.37,169.48,895763.36156161,SOL,172.38333333333333,176.06666666666666,168.77666666666664,179.67333333333335,165.0933333333333,1,0,1
2024-05-16,156.7,164.75,158.6,159.37,1167422.66374857,SOL,166.96666666666667,174.59333333333333,161.85333333333332,179.70666666666668,154.22666666666666,1,0,1
2024-05-15,141.22,158.86,141.98,158.6,1322013.6104668,SOL,160.27333333333334,163.8466666666667,155.79666666666668,168.32333333333335,152.22333333333333,1,0,1
2024-05-14,141.75,151.5,147.5,141.96,819839.4999486,SOL,152.89333333333335,164.5666666666667,146.92666666666668,170.53333333333336,135.25333333333333,1,0,1
2024-05-13,137.82,150.8,143.36,147.49,1070319.88805558,SOL,145.07000000000002,148.39000000000004,138.64000000000004,154.82000000000002,135.32000000000002,1,1,1
2024-05-12,142.57,147.69,145.37,143.35,369169.37240576,SOL,145.37,152.92000000000002,139.94,158.35000000000002,132.39,0,0,0
2024-05-11,143.05,147.66,146.01,145.37,574750.86521124,SOL,144.53666666666666,146.50333333333333,141.38333333333333,149.65666666666667,139.41666666666666,0,1,-1
2024-05-10,144.41,155.74,152.55,146.01,1217658.46121303,SOL,145.36,147.67000000000002,143.06000000000003,149.97,140.75000000000003,0,1,-1
2024-05-09,140.53,153.37,142.14,152.54,918780.04069924,SOL,148.72,153.03,141.7,160.05,137.39,1,1,1
2024-05-08,140.0,149.95,148.04,142.13,899535.93350958,SOL,148.8133333333333,157.0966666666666,144.2566666666666,161.6533333333333,135.9733333333333,1,0,1
2024-05-07,148.0,159.18,152.85,148.05,838121.36375189,SOL,144.02666666666667,148.05333333333334,138.10333333333335,153.97666666666666,134.07666666666668,0,1,-1
2024-05-06,145.44,157.03,145.74,152.83,1001891.54552638,SOL,151.74333333333334,155.48666666666668,144.30666666666667,162.92333333333335,140.56333333333333,0,1,-1
2024-05-05,143.0,148.0,146.07,145.74,461407.51335516,SOL,151.76666666666668,158.09333333333336,146.50333333333336,163.35666666666668,140.17666666666668,1,0,1
2024-05-04,142.25,149.11,143.75,146.06,528753.80408235,SOL,145.58,148.16000000000003,143.16000000000003,150.58,140.58,1,1,1
2024-05-03,132.1,145.03,137.57,143.73,1013126.42072374,SOL,145.80666666666667,149.36333333333334,142.50333333333333,152.66666666666669,138.94666666666666,1,0,1
2024-05-02,128.16,141.0,134.45,137.57,1090679.71832366,SOL,140.28666666666666,148.47333333333333,135.54333333333332,153.21666666666667,127.35666666666665,1,0,1
2024-05-01,118.68,135.86,126.63,134.46,1644144.61431275,SOL,135.57666666666665,142.9933333333333,130.1533333333333,148.41666666666666,122.73666666666665,1,0,1
2024-04-30,121.0,139.74,137.73,126.66,1507577.39141503,SOL,129.66666666666666,140.6533333333333,123.4733333333333,146.84666666666666,112.48666666666665,1,0,1
2024-04-29,133.37,138.9,137.98,137.73,795190.75029224,SOL,129.13333333333333,137.26666666666665,118.52666666666664,147.87333333333333,110.39333333333332,0,1,-1
2024-04-28,137.02,144.6,141.24,137.98,486682.09806583,SOL,136.66666666666666,139.9633333333333,134.4333333333333,142.19666666666666,131.13666666666666,0,1,-1
2024-04-27,133.0,142.97,139.19,141.22,689266.47540085,SOL,139.86666666666667,142.71333333333334,135.13333333333335,147.44666666666666,132.2866666666667,1,1,1
2024-04-26,138.73,146.11,144.84,139.22,613573.32473004,SOL,139.06333333333336,145.12666666666672,135.15666666666672,149.03333333333336,129.09333333333336,0,1,-1
2024-04-25,142.04,149.49,147.71,144.83,976021.09556298,SOL,141.35333333333335,143.97666666666672,136.5966666666667,148.73333333333338,133.97333333333333,0,1,-1
2024-04-24,145.25,159.78,154.69,147.71,1124542.72440691,SOL,145.45333333333335,148.8666666666667,141.41666666666669,152.90333333333336,138.00333333333333,0,1,-1
2024-04-23,153.15,160.0,157.02,154.69,810829.36898627,SOL,150.91333333333333,156.57666666666665,142.04666666666665,165.44333333333333,136.38333333333333,0,1,-1
2024-04-22,146.7,158.5,148.81,157.02,909774.34620336,SOL,155.94666666666666,158.7433333333333,151.89333333333332,162.79666666666665,149.09666666666666,1,0,1
